key,time,commitTime,PythonfileNum,pythonFile
#1280,2020-08-24 12:36:37,2020-08-07 13:41:31,2,"['deeppavlov/models/doc_retrieval/logit_ranker.py', 'deeppavlov/models/preprocessors/odqa_preprocessors.py']"
#1277,2020-08-10 20:46:07,2020-08-10 23:46:06,3,"['deeppavlov/dataset_readers/md_yaml_dialogs_reader.py', 'deeppavlov/models/go_bot/nlg/mock_json_nlg_manager.py', 'tests/test_quick_start.py']"
#1274,2020-07-27 08:53:21,2020-07-27 11:53:21,3,"['deeppavlov/dataset_readers/conll2003_reader.py', 'deeppavlov/models/ner/NER_model.py', 'tests/test_quick_start.py']"
#1268,2020-08-01 22:05:41,2020-08-02 01:05:40,12,"['deeppavlov/dataset_iterators/multitask_iterator.py', 'deeppavlov/dataset_readers/multitask_reader.py', 'deeppavlov/dataset_readers/rel_ranking_reader.py', 'deeppavlov/metrics/fmeasure.py', 'deeppavlov/models/kbqa/entity_detection_parser.py', 'deeppavlov/models/kbqa/entity_linking.py', 'deeppavlov/models/kbqa/kbqa_entity_linking.py', 'deeppavlov/models/kbqa/rel_ranking_bert_infer.py', 'deeppavlov/models/kbqa/rel_ranking_mt_bert_infer.py', 'deeppavlov/models/multitask_bert/__init__.py', 'deeppavlov/models/multitask_bert/multitask_bert.py', 'tests/test_quick_start.py']"
#1264,2020-08-02 10:19:20,2020-08-02 13:19:19,4,"['deeppavlov/core/trainers/fit_trainer.py', 'deeppavlov/core/trainers/nn_trainer.py', 'deeppavlov/core/trainers/utils.py', 'deeppavlov/metrics/mse.py']"
#1251,2020-06-30 08:52:25,2020-06-30 10:52:25,11,"['deeppavlov/models/kbqa/entity_detection_parser.py', 'deeppavlov/models/kbqa/entity_linking.py', 'deeppavlov/models/kbqa/query_generator.py', 'deeppavlov/models/kbqa/query_generator_base.py', 'deeppavlov/models/kbqa/query_generator_online.py', 'deeppavlov/models/kbqa/rel_ranking_bert_infer.py', 'deeppavlov/models/kbqa/tree_to_sparql.py', 'deeppavlov/models/kbqa/utils.py', 'deeppavlov/models/kbqa/wiki_parser.py', 'deeppavlov/models/kbqa/wiki_parser_online.py', 'tests/test_quick_start.py']"
#1246,2020-06-30 08:43:36,2020-06-30 11:43:35,3,"['deeppavlov/core/data/utils.py', 'deeppavlov/download.py', 'setup.py']"
#1235,2020-05-28 18:28:07,2020-06-30 10:52:25,11,"['deeppavlov/models/kbqa/entity_detection_parser.py', 'deeppavlov/models/kbqa/entity_linking.py', 'deeppavlov/models/kbqa/query_generator.py', 'deeppavlov/models/kbqa/query_generator_base.py', 'deeppavlov/models/kbqa/query_generator_online.py', 'deeppavlov/models/kbqa/rel_ranking_bert_infer.py', 'deeppavlov/models/kbqa/tree_to_sparql.py', 'deeppavlov/models/kbqa/utils.py', 'deeppavlov/models/kbqa/wiki_parser.py', 'deeppavlov/models/kbqa/wiki_parser_online.py', 'tests/test_quick_start.py']"
#1232,2020-05-27 14:05:50,2020-05-27 17:05:50,2,"['deeppavlov/_meta.py', 'deeppavlov/metrics/accuracy.py']"
#1228,2020-07-03 10:31:07,2020-06-30 11:43:35,3,"['deeppavlov/core/data/utils.py', 'deeppavlov/download.py', 'setup.py']"
#1215,2020-05-27 14:04:45,2020-05-27 17:04:44,4,"['deeppavlov/models/bert/bert_classifier.py', 'deeppavlov/models/bert/bert_ranker.py', 'deeppavlov/models/bert/bert_sequence_tagger.py', 'deeppavlov/models/bert/bert_squad.py']"
#1200,2020-05-19 13:46:36,2020-05-19 16:46:36,3,"['deeppavlov/__init__.py', 'deeppavlov/_meta.py', 'setup.py']"
#1179,2020-04-19 13:44:51,2020-04-19 16:44:50,2,"['deeppavlov/__init__.py', 'tests/test_quick_start.py']"
#1174,2020-04-10 08:30:07,2020-04-19 16:43:48,9,"['deeppavlov/core/common/file.py', 'deeppavlov/models/nemo/__init__.py', 'deeppavlov/models/nemo/asr.py', 'deeppavlov/models/nemo/common.py', 'deeppavlov/models/nemo/tts.py', 'deeppavlov/models/nemo/vocoder.py', 'deeppavlov/utils/server/server.py', 'docs/conf.py', 'tests/test_quick_start.py']"
#1162,2020-04-19 13:43:49,2020-04-19 16:43:48,9,"['deeppavlov/core/common/file.py', 'deeppavlov/models/nemo/__init__.py', 'deeppavlov/models/nemo/asr.py', 'deeppavlov/models/nemo/common.py', 'deeppavlov/models/nemo/tts.py', 'deeppavlov/models/nemo/vocoder.py', 'deeppavlov/utils/server/server.py', 'docs/conf.py', 'tests/test_quick_start.py']"
#1160,2020-05-14 15:14:55,2020-05-27 17:04:44,4,"['deeppavlov/models/bert/bert_classifier.py', 'deeppavlov/models/bert/bert_ranker.py', 'deeppavlov/models/bert/bert_sequence_tagger.py', 'deeppavlov/models/bert/bert_squad.py']"
#1156,2020-05-27 15:02:01,2020-05-27 17:02:00,18,"['deeppavlov/models/kbqa/entity_detection_parser.py', 'deeppavlov/models/kbqa/entity_linking.py', 'deeppavlov/models/kbqa/kb_answer_parser_base.py', 'deeppavlov/models/kbqa/kb_answer_parser_simple.py', 'deeppavlov/models/kbqa/kb_tree.py', 'deeppavlov/models/kbqa/query_generator.py', 'deeppavlov/models/kbqa/rel_ranking_bert_infer.py', 'deeppavlov/models/kbqa/rel_ranking_infer.py', 'deeppavlov/models/kbqa/template_matcher.py', 'deeppavlov/models/kbqa/tree_parser.py', 'deeppavlov/models/kbqa/utils.py', 'deeppavlov/models/kbqa/wiki_parser.py', 'deeppavlov/models/ranking/rel_ranker.py', 'deeppavlov/models/slotfill/slotfill.py', 'deeppavlov/utils/pip_wrapper/pip_wrapper.py', 'docs/conf.py', 'tests/__init__.py', 'tests/test_quick_start.py']"
#1155,2020-04-16 17:08:26,2020-04-16 20:08:25,6,"['deeppavlov/dataset_readers/conll2003_reader.py', 'deeppavlov/metrics/fmeasure.py', 'deeppavlov/models/ner/NER_model.py', 'deeppavlov/models/preprocessors/ner_preprocessor.py', 'deeppavlov/models/preprocessors/sentseg_preprocessor.py', 'tests/test_quick_start.py']"
#1134,2020-02-25 10:29:20,2020-02-25 13:29:19,2,"['deeppavlov/models/go_bot/network.py', 'deeppavlov/models/go_bot/tracker.py']"
#1115,2020-01-27 09:47:56,2020-01-27 12:47:55,18,"['deeppavlov/core/common/chainer.py', 'deeppavlov/core/layers/keras_layers.py', 'deeppavlov/core/models/keras_model.py', 'deeppavlov/core/models/tf_backend.py', 'deeppavlov/dataset_iterators/siamese_iterator.py', 'deeppavlov/dataset_readers/paraphraser_reader.py', 'deeppavlov/models/classifiers/keras_classification_model.py', 'deeppavlov/models/embedders/fasttext_embedder.py', 'deeppavlov/models/morpho_tagger/cells.py', 'deeppavlov/models/morpho_tagger/common_tagger.py', 'deeppavlov/models/morpho_tagger/morpho_tagger.py', 'deeppavlov/models/ranking/bilstm_gru_siamese_network.py', 'deeppavlov/models/ranking/bilstm_siamese_network.py', 'deeppavlov/models/ranking/keras_siamese_model.py', 'deeppavlov/models/ranking/mpm_siamese_network.py', 'deeppavlov/models/tokenizers/nltk_moses_tokenizer.py', 'docs/conf.py', 'tests/test_quick_start.py']"
#1113,2020-01-20 09:32:19,2020-01-20 12:32:18,5,"['deeppavlov/core/common/log.py', 'deeppavlov/utils/alexa/server.py', 'deeppavlov/utils/alice/server.py', 'deeppavlov/utils/ms_bot_framework/server.py', 'deeppavlov/utils/server/server.py']"
#1112,2020-01-16 09:52:39,2020-01-16 12:52:38,2,"['deeppavlov/utils/agent/messages.py', 'deeppavlov/utils/agent/rabbitmq.py']"
#1109,2020-06-30 12:33:16,2020-06-30 11:43:35,3,"['deeppavlov/core/data/utils.py', 'deeppavlov/download.py', 'setup.py']"
#1106,2019-12-30 11:39:35,2019-12-30 14:39:34,6,"['deeppavlov/core/commands/infer.py', 'deeppavlov/deep.py', 'deeppavlov/utils/agent/__init__.py', 'deeppavlov/utils/agent/messages.py', 'deeppavlov/utils/agent/rabbitmq.py', 'deeppavlov/utils/agent/server.py']"
#1077,2019-11-27 20:28:32,2019-11-27 23:28:31,21,"['deeppavlov/core/data/simple_vocab.py', 'deeppavlov/core/layers/tf_layers.py', 'deeppavlov/core/trainers/fit_trainer.py', 'deeppavlov/core/trainers/utils.py', 'deeppavlov/dataset_iterators/morphotagger_iterator.py', 'deeppavlov/dataset_readers/morphotagging_dataset_reader.py', 'deeppavlov/download.py', 'deeppavlov/metrics/accuracy.py', 'deeppavlov/models/bert/bert_ranker.py', 'deeppavlov/models/bert/bert_sequence_tagger.py', 'deeppavlov/models/morpho_tagger/__main__.py', 'deeppavlov/models/morpho_tagger/common.py', 'deeppavlov/models/preprocessors/assemble_embeddings_matrix.py', 'deeppavlov/models/preprocessors/bert_preprocessor.py', 'deeppavlov/models/preprocessors/mask.py', 'deeppavlov/models/seq2seq_go_bot/kb_attn_layer.py', 'deeppavlov/models/syntax_parser/__init__.py', 'deeppavlov/models/syntax_parser/joint.py', 'deeppavlov/models/syntax_parser/network.py', 'deeppavlov/models/syntax_parser/parser.py', 'tests/test_quick_start.py']"
#1076,2019-11-29 13:44:50,2019-11-29 16:44:50,2,"['deeppavlov/__init__.py', 'deeppavlov/models/bert/bert_as_summarizer.py']"
